time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-09T15:22:07.472Z,36.4169,28.8622,25.042,4.3,mb,83,68,0.628,0.9,us,us6000kan7,2023-05-16T17:23:51.647Z,"30 km WSW of Ölüdeniz, Turkey",earthquake,3.16,4.188,0.088,37,reviewed,us,us
2023-05-09T03:52:17.014Z,35.0003,37.6611,10,4.4,mwr,80,102,2.198,0.59,us,us6000kaiw,2023-06-08T02:55:12.040Z,"Syria",earthquake,5.28,1.912,0.066,22,reviewed,us,us
2023-05-08T20:20:34.789Z,38.0217,38.4005,10,4.5,mb,106,24,0.669,0.94,us,us6000kagp,2023-06-06T20:30:37.203Z,"14 km E of Çelikhan, Turkey",earthquake,4.55,1.867,0.073,55,reviewed,us,us
2023-05-07T19:34:51.639Z,34.0236,48.2838,10,4.2,mb,51,53,2.858,0.91,us,us6000kb5l,2023-05-14T18:14:33.040Z,"16 km W of pamas, Iran",earthquake,8.02,1.895,0.1,28,reviewed,us,us
2023-05-07T08:36:08.971Z,36.3545,36.2183,10,4.7,mwr,129,47,1.14,0.5,us,us6000ka6g,2023-07-15T07:25:06.040Z,"0 km SSE of Serinyol, Turkey",earthquake,5.66,1.862,0.075,17,reviewed,us,us
2023-05-06T14:43:24.934Z,34.9889,23.4985,53.937,4.5,mb,49,62,1.179,0.88,us,us6000ka1h,2023-07-15T22:10:09.040Z,"31 km SSW of Palaióchora, Greece",earthquake,7.82,7.551,0.07,60,reviewed,us,us
2023-05-06T12:29:27.020Z,37.8443,36.564,10,4.2,mb,29,49,0.316,0.58,us,us6000ka0l,2023-07-15T22:10:07.040Z,"Central Turkey",earthquake,3.03,1.788,0.158,11,reviewed,us,us
2023-05-05T14:52:29.643Z,37.9221,36.3313,9.387,4.8,mwr,91,29,0.342,0.47,us,us6000k9td,2023-07-15T22:09:56.040Z,"18 km SW of Göksun, Turkey",earthquake,5.66,4.352,0.062,25,reviewed,us,us
2023-05-04T03:27:06.035Z,34.4547,22.9504,42.874,4.1,mb,23,209,1.798,0.68,us,us6000kauu,2023-07-15T22:10:24.040Z,"109 km SW of Palaióchora, Greece",earthquake,10.97,8.868,0.139,14,reviewed,us,us
2023-05-04T01:50:01.109Z,40.4326,26.2194,10,4.2,mb,39,70,0.881,0.66,us,us6000k9dn,2023-07-15T22:09:34.040Z,"29 km NNW of Eceabat, Turkey",earthquake,3.63,1.858,0.264,4,reviewed,us,us
2023-05-03T17:22:16.031Z,38.0547,36.6366,7.793,4.2,mb,43,43,0.392,1.2,us,us6000kam9,2023-07-15T22:10:20.040Z,"12 km ENE of Göksun, Turkey",earthquake,2.99,5.134,0.199,7,reviewed,us,us
2023-05-03T17:16:38.697Z,38.0541,36.5563,11.5,4.9,mb,113,26,0.369,0.82,us,us7000jxsv,2023-07-15T22:11:07.040Z,"K. Maras, Turkey",earthquake,4.55,3.28,0.036,244,reviewed,us,us
2023-05-03T06:20:54.241Z,37.5767,35.6059,10,4.4,mb,57,61,0.587,0.77,us,us7000jxph,2023-07-15T22:11:02.040Z,"18 km E of Aladağ, Turkey",earthquake,3.34,1.817,0.117,21,reviewed,us,us
2023-05-01T21:36:01.096Z,38.1582,38.5532,10,4.2,mb,50,44,0.747,0.73,us,us7000jxep,2023-07-15T22:10:48.040Z,"eastern Turkey",earthquake,2.24,1.833,0.105,25,reviewed,us,us
2023-05-01T15:06:05.052Z,39.5797,20.5803,21.023,4.3,mb,88,41,1.472,0.97,us,us7000jxcm,2023-07-15T22:10:46.040Z,"13 km NNE of Paramythiá, Greece",earthquake,4.13,4.592,0.103,27,reviewed,us,us
2023-04-30T13:01:28.103Z,38.3303,37.7144,10,4.2,mb,46,56,0.903,0.79,us,us7000jx6j,2023-07-15T22:10:38.040Z,"22 km W of Akçadağ, Turkey",earthquake,2.72,1.36,0.092,33,reviewed,us,us
2023-04-29T18:02:56.847Z,38.3618,22.1517,6.824,4.5,mb,88,36,0.674,0.64,us,us7000jx0r,2023-07-11T01:44:35.040Z,"13 km NE of Rododáfni, Greece",earthquake,3.88,3.596,0.057,93,reviewed,us,us
2023-04-29T01:55:48.680Z,38.1021,36.4431,10,4.6,mb,69,50,0.305,1.07,us,us7000jwv7,2023-07-11T01:44:52.040Z,"10 km NNW of Göksun, Turkey",earthquake,6.16,1.855,0.067,65,reviewed,us,us
2023-04-28T05:15:44.377Z,36.1028,36.0439,10,4.1,mb,34,110,1.421,0.99,us,us7000jwk7,2023-07-11T01:44:48.040Z,"3 km WSW of Büyükçat, Turkey",earthquake,5.77,1.939,0.114,21,reviewed,us,us
2023-04-27T15:33:45.536Z,38.7636,37.134,7.476,4.2,mb,26,67,0.664,0.91,us,us7000jwav,2023-07-11T01:44:35.040Z,"Central Turkey",earthquake,3.2,2.528,0.235,6,reviewed,us,us
2023-04-26T21:06:56.152Z,34.3892,45.2965,10,4.2,mb,33,65,1.188,0.64,us,us7000jxrp,2023-07-11T01:44:57.040Z,"45 km SE of Kifrī, Iraq",earthquake,6.08,1.909,0.159,11,reviewed,us,us
2023-04-26T20:00:34.782Z,36.4294,26.3159,116.496,5.1,mww,117,35,1.474,0.77,us,us7000jw42,2023-07-11T01:45:35.040Z,"",earthquake,5.97,5.166,0.05,38,reviewed,us,us
2023-04-26T15:31:05.471Z,38.0104,36.4372,6,4.3,mwr,59,46,0.396,0.64,us,us7000jw1g,2023-07-11T01:44:34.040Z,"5 km WSW of Göksun, Turkey",earthquake,3.43,1.886,0.053,34,reviewed,us,us
2023-04-26T05:18:06.962Z,34.3883,45.3815,16.319,4.1,mb,34,105,1.187,1.15,us,us7000jvyb,2023-07-11T01:45:02.040Z,"44 km W of Sarpol-e Z̄ahāb, Iran",earthquake,8.38,5.254,0.158,11,reviewed,us,us
2023-04-26T04:48:32.480Z,37.8831,36.4031,10,4.2,mb,37,43,0.306,0.61,us,us7000jvy7,2023-07-11T01:44:45.040Z,"17 km SSW of Göksun, Turkey",earthquake,3.18,1.89,0.216,6,reviewed,us,us
2023-04-25T22:14:08.550Z,38.0275,37.3069,5,4,mb,32,61,0.613,0.66,us,us7000jvwd,2023-07-11T01:44:30.040Z,"11 km ESE of Ekinözü, Turkey",earthquake,4.07,1.968,0.156,11,reviewed,us,us
2023-04-23T03:40:07.076Z,37.0767,28.4647,10,4.1,mb,48,50,0.747,1.02,us,us6000k6hp,2023-07-11T01:44:39.040Z,"Western Turkey",earthquake,4.39,1.86,0.157,11,reviewed,us,us
2023-04-22T20:38:19.755Z,37.065,28.4103,10,4.2,mb,44,51,0.73,1.01,us,us6000k6fj,2023-07-03T02:46:37.040Z,"Western Turkey",earthquake,1.95,1.893,0.146,13,reviewed,us,us
2023-04-22T08:38:50.321Z,38.1178,24.3199,10,4.2,mb,18,73,1.798,0.98,us,us7000jwm4,2023-07-03T02:46:41.040Z,"7 km N of Marmárion, Greece",earthquake,5.03,1.968,0.199,7,reviewed,us,us
2023-04-22T08:38:04.909Z,38.2675,24.3226,10,4.6,mwr,67,56,1.728,0.73,us,us6000k6an,2023-07-03T02:46:41.040Z,"Aegean Sea",earthquake,4.51,1.656,0.056,31,reviewed,us,us
2023-04-21T03:56:42.690Z,40.2757,51.7212,38.269,4.3,mb,59,51,2.144,0.96,us,us6000k5xy,2023-07-03T02:46:54.040Z,"Caspian Sea",earthquake,5.31,7.243,0.08,44,reviewed,us,us
2023-04-20T22:14:42.413Z,39.9668,32.6543,8.353,2.6,ml,11,113,0.146,0.23,us,us6000k5xk,2023-07-03T02:46:55.040Z,"6 km W of Batikent, Turkey",earthquake,2.61,6.84,0.085,18,reviewed,us,us
2023-04-19T22:44:08.665Z,38.4076,39.161,12.718,4.4,mb,89,49,0.941,0.65,us,us6000k5mf,2023-07-03T02:47:05.040Z,"13 km WSW of Sivrice, Turkey",earthquake,4.59,4.089,0.067,65,reviewed,us,us
